Date,Net_Worth,Regime,Confidence,Action,Agent_0_Act,Agent_1_Act,Agent_2_Act
2022-08-11,7193.745160453053,2,0.99,-0.8342711853981017,1.0,1.0,-0.8527991771697998
2022-08-12,7168.434773158907,2,0.99,-0.9147583824396133,1.0,1.0,-0.9340993762016296
2022-08-15,7141.92917475782,1,0.99,0.9910137850046158,1.0,1.0,-0.7972429990768433
2022-08-16,7091.686633304162,0,0.99,0.9904243469238281,1.0,1.0,-0.915130615234375
2022-08-17,7112.09535910039,1,0.99,0.9912796926498413,1.0,1.0,-0.7440614700317383
2022-08-18,7017.348322427105,0,0.99,0.9902203550934792,1.0,1.0,-0.9559289813041687
2022-08-19,6872.651796658597,0,0.99,0.9910493695735931,1.0,1.0,-0.7901260852813721
2022-08-22,6856.171712663745,0,0.99,0.9916357737779617,1.0,1.0,-0.6728452444076538
2022-08-23,6877.934631101821,1,0.99,0.9915303730964661,1.0,1.0,-0.6939253807067871
2022-08-24,6960.844870782862,2,0.99,-0.9518521904945373,1.0,1.0,-0.9715678691864014
2022-08-25,7171.596375541507,0,0.99,0.9906809782981872,1.0,1.0,-0.8638043403625488
2022-08-26,7124.604432980639,0,0.99,0.9925070413947106,1.0,1.0,-0.49859172105789185
2022-08-29,7046.965700607062,0,0.99,0.9907171881198883,1.0,1.0,-0.8565623760223389
2022-08-30,6993.839840522016,0,0.99,0.9910694205760956,1.0,1.0,-0.7861158847808838
2022-08-31,7015.585222029215,1,0.99,0.9915703222155571,1.0,1.0,-0.6859355568885803
2022-09-01,6942.226918976055,0,0.99,0.9904426962137223,1.0,1.0,-0.9114607572555542
2022-09-02,6916.279576196636,0,0.99,0.9908510029315949,1.0,1.0,-0.8297994136810303
2022-09-06,7027.825595292519,2,0.99,-0.6816631484031677,1.0,1.0,-0.6986496448516846
2022-09-07,6994.72952412884,2,0.99,-0.9354074382781983,1.0,1.0,-0.9549570083618164
2022-09-08,6892.6784603575,2,0.99,-0.8774981701374054,1.0,1.0,-0.8964627981185913
2022-09-09,6827.4565105425045,2,0.99,-0.8461424171924591,1.0,1.0,-0.8647903203964233
2022-09-12,7066.109885303818,0,0.99,0.9913328093290329,1.0,1.0,-0.7334381341934204
2022-09-13,7082.200276357526,2,0.99,-0.5143175959587097,1.0,1.0,-0.529613733291626
2022-09-14,7112.894688858191,0,0.99,0.9909016680717468,1.0,1.0,-0.8196663856506348
2022-09-15,7059.123093080459,0,0.99,0.9911340624094009,1.0,1.0,-0.773187518119812
2022-09-16,7100.140339235579,2,0.99,-0.8846389776468276,1.0,1.0,-0.9036757349967957
2022-09-19,7158.924670500154,0,0.99,0.9904180210828781,1.0,1.0,-0.9163957834243774
2022-09-20,7035.232595536592,0,0.99,0.9916711676120757,1.0,1.0,-0.6657664775848389
2022-09-21,6976.62469744471,0,0.99,0.990749072432518,1.0,1.0,-0.8501855134963989
2022-09-22,6860.813932580881,0,0.99,0.9907424211502075,1.0,1.0,-0.8515157699584961
2022-09-23,6793.565028676277,0,0.99,0.9915040713548661,1.0,1.0,-0.6991857290267944
2022-09-26,6776.366126132263,0,0.99,0.9911204302310943,1.0,1.0,-0.7759139537811279
2022-09-27,6896.793657714655,2,0.99,-0.7389645099639892,1.0,1.0,-0.7565298080444336
2022-09-28,6991.328934236999,0,0.99,0.9900739467144012,1.0,1.0,-0.985210657119751
2022-09-29,6884.284484058538,0,0.99,0.9911244571208954,1.0,1.0,-0.7751085758209229
2022-09-30,7051.979382805059,2,0.99,-0.8165883147716522,1.0,1.0,-0.8349376916885376
2022-10-03,6872.861561123274,2,0.99,-0.9128741788864135,1.0,1.0,-0.9321961402893066
2022-10-04,6874.383314455379,0,0.99,0.9910746338963509,1.0,1.0,-0.7850732207298279
2022-10-05,6804.0995452476345,0,0.99,0.9907443755865097,1.0,1.0,-0.8511248826980591
2022-10-06,6616.055069704044,0,0.99,0.9918925872445107,1.0,1.0,-0.6214825510978699
2022-10-07,6565.945698662325,0,0.99,0.9914701873064041,1.0,1.0,-0.7059625387191772
2022-10-10,6524.714151365702,0,0.99,0.9909278500080109,1.0,1.0,-0.8144299983978271
2022-10-11,6503.387346307838,0,0.99,0.9911289173364639,1.0,1.0,-0.7742165327072144
2022-10-12,6662.1589895646375,2,0.99,-0.7521123337745667,1.0,1.0,-0.7698104381561279
2022-10-13,6764.735814549678,0,0.99,0.9906090953946114,1.0,1.0,-0.8781809210777283
2022-10-14,6925.091508933456,2,0.99,-0.7603484588861465,1.0,1.0,-0.7781297564506531
2022-10-17,6862.8444328961505,2,0.99,-0.8151643192768097,1.0,1.0,-0.8334993124008179
2022-10-18,6890.092793602706,0,0.99,0.9909798628091812,1.0,1.0,-0.8040274381637573
2022-10-19,6832.836691883142,0,0.99,0.9911216986179352,1.0,1.0,-0.7756602764129639
2022-10-20,6984.764692661418,2,0.99,-0.8594979512691497,1.0,1.0,-0.878280758857727
2022-10-21,6910.76496960062,2,0.99,-0.7823859870433807,1.0,1.0,-0.8003898859024048
2022-10-24,6824.3288116363165,2,0.99,-0.7962465167045593,1.0,1.0,-0.8143904209136963
2022-10-25,6853.074163186152,0,0.99,0.9906576883792877,1.0,1.0,-0.868462324142456
2022-10-26,6816.820511455103,0,0.99,0.990615621805191,1.0,1.0,-0.876875638961792
2022-10-27,6965.440019667693,2,0.99,-0.7748819816112518,1.0,1.0,-0.7928100824356079
2022-10-28,6992.1298023079435,0,0.99,0.9904440081119538,1.0,1.0,-0.9111983776092529
2022-10-31,6961.823536283165,0,0.99,0.9906230622529983,1.0,1.0,-0.8753875494003296
2022-11-01,6788.743644661677,0,0.99,0.9910467422008514,1.0,1.0,-0.7906515598297119
2022-11-02,6719.466856614056,0,0.99,0.9909877353906631,1.0,1.0,-0.8024529218673706
2022-11-03,6802.845290908722,2,0.99,-0.8639986550807953,1.0,1.0,-0.8828269243240356
2022-11-04,6746.608980140329,2,0.99,-0.8660356318950653,1.0,1.0,-0.8848844766616821
2022-11-07,6714.998919457355,2,0.99,-0.8788767290115356,1.0,1.0,-0.897855281829834
2022-11-08,6824.025555319543,0,0.99,0.9914709883928299,1.0,1.0,-0.705802321434021
2022-11-09,7184.145386336936,2,0.99,-0.721737185716629,1.0,1.0,-0.7391284704208374
2022-11-10,7132.122021591752,2,0.99,-0.9777828699350357,1.0,1.0,-0.9977604746818542
2022-11-11,7177.408041254114,0,0.99,0.9904303526878356,1.0,1.0,-0.9139294624328613
2022-11-14,7224.936918313263,2,0.99,-0.8348694145679474,1.0,1.0,-0.8534034490585327
2022-11-15,7257.75812076028,0,0.99,0.9912502574920654,1.0,1.0,-0.7499485015869141
2022-11-16,7235.741730850986,0,0.99,0.9909245523810386,1.0,1.0,-0.8150895237922668
2022-11-17,7255.09107577114,2,0.99,-0.834195418357849,1.0,1.0,-0.8527226448059082
2022-11-18,7263.857868859183,0,0.99,0.9906580570340157,1.0,1.0,-0.8683885931968689
2022-11-21,7346.483354646524,2,0.99,-0.9656945455074311,1.0,1.0,-0.985550045967102
2022-11-22,7301.499610505219,2,0.99,-0.9280022132396698,1.0,1.0,-0.9474769830703735
2022-11-23,7289.005243212538,1,0.99,0.9907535335421562,1.0,1.0,-0.8492932915687561
2022-11-25,7173.769713537642,0,0.99,0.9907127797603608,1.0,1.0,-0.8574440479278564
2022-11-28,7161.556651157447,1,0.99,0.9915820074081421,1.0,1.0,-0.683598518371582
2022-11-29,7371.973768430892,2,0.99,-0.862269231081009,1.0,1.0,-0.8810800313949585
2022-11-30,7362.9920003423385,1,0.99,0.9906553366780281,1.0,1.0,-0.8689326643943787
2022-12-01,7354.576117627855,1,0.99,0.9905334994196892,1.0,1.0,-0.8933001160621643
2022-12-02,7223.52191468124,0,0.99,0.99,1.0,1.0,-1.0
2022-12-05,7120.430304070729,0,0.99,0.9910608360171318,1.0,1.0,-0.7878327965736389
2022-12-06,7108.417752856097,1,0.99,0.992136404812336,1.0,1.0,-0.5727190375328064
